id,title,popularity,release_date
211672,Minions,875.581305,2015-06-17
157336,Interstellar,724.247784,2014-11-05
293660,Deadpool,514.5699559999999,2016-02-09
118340,Guardians of the Galaxy,481.09862400000003,2014-07-30
76341,Mad Max: Fury Road,434.27856399999996,2015-05-13
135397,Jurassic World,418.708552,2015-06-09
22,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003-07-09
119450,Dawn of the Planet of the Apes,243.79174300000003,2014-06-26
131631,The Hunger Games: Mockingjay - Part 1,206.227151,2014-11-18
177572,Big Hero 6,203.73459,2014-10-24
